n,b_per_K,dT_K,pressure_Torr,R_total_percent
0.5,0.0,20.0,0.23125995694418106,0.2461964226986968
0.5,0.0,20.0,0.2434210428252359,0.23858915457353191
0.5,0.0,20.0,0.25622163418644706,0.2313217309585891
0.5,0.0,20.0,0.269695360200665,0.22438079453432902
0.5,0.0,20.0,0.28387761847166376,0.2177533420333999
0.5,0.0,20.0,0.29880566802922937,0.21142673191465455
0.5,0.0,20.0,0.3145187272145109,0.2053886898365498
0.5,0.0,20.0,0.3310580767127861,0.19962731213760687
0.5,0.0,20.0,0.34846716800433625,0.19413106752039777
0.5,0.0,20.0,0.366791737518338,0.1888887971249309
0.5,0.0,20.0,0.38607992678968106,0.18388971316585234
0.5,0.0,20.0,0.40638240893437044,0.17912339629546636
0.5,0.0,20.0,0.42775252177579887,0.17457979184536399
0.5,0.0,20.0,0.45024640797162163,0.17024920508652563
0.5,0.0,20.0,0.4739231625093784,0.16612229563794934
0.5,0.0,20.0,0.49884498795834276,0.16219007114381956
0.5,0.0,20.0,0.5250773578854879,0.1584438803285071
0.5,0.0,20.0,0.552689188864875,0.1548754055297641
0.5,0.0,20.0,0.5817530215323635,0.15147665480157446
0.5,0.0,20.0,0.6123452111613106,0.14823995366934906
0.5,0.0,20.0,0.6445461282599118,0.14515793661245002
0.5,0.0,20.0,0.6784403697172101,0.14222353834139057
0.5,0.0,20.0,0.7141169810524661,0.1394299849302172
0.5,0.0,20.0,0.7516696903517901,0.1367707848580979
0.5,0.0,20.0,0.7911971545066018,0.1342397200083445
0.5,0.0,20.0,0.832803218400853,0.13183083666690187
0.5,0.0,20.0,0.8765971877279173,0.12953843655834074
0.5,0.0,20.0,0.9226941161538957,0.12735706795166113
0.5,0.0,20.0,0.9712151075817389,0.12528151686455047
0.5,0.0,20.0,1.0222876343103102,0.12330679839063219
0.5,0.0,20.0,1.076045871924221,0.1214281481709989
0.5,0.0,20.0,1.1326310517942668,0.11964101402743843
0.5,0.0,20.0,1.192191832114505,0.11794104777258507
0.5,0.0,20.0,1.254884688450791,0.11632409720929715
0.5,0.0,20.0,1.320874324826769,0.11478619832905324
0.5,0.0,20.0,1.3903341064273358,0.11332356771722729
0.5,0.0,20.0,1.4634465150563152,0.11193259517139342
0.5,0.0,20.0,1.5404036285449538,0.11060983653676804
0.5,0.0,20.0,1.6214076253706786,0.10935200676138734
0.5,0.0,20.0,1.7066713158118654,0.10815597317308523
0.5,0.0,20.0,1.7964187010339918,0.10701874897789398
0.5,0.0,20.0,1.8908855615760498,0.1059374869796681
0.5,0.0,20.0,1.990320076783208,0.1049094735191547
0.5,0.0,20.0,2.094983476813121,0.10393212263033469
0.5,0.0,20.0,2.205150728928738,0.10300297041074824
0.5,0.0,20.0,2.3211112598806958,0.10211966960274044
0.5,0.0,20.0,2.4431697162770436,0.10127998438116403
0.5,0.0,20.0,2.5716467649379586,0.10048178534360908
0.5,0.0,20.0,2.7068799353380433,0.09972304469794135
0.5,0.0,20.0,2.849224506349518,0.09900183164268661
0.5,0.0,20.0,2.9990544396158607,0.09831630793486479
0.5,0.0,20.0,3.1567633620080344,0.09766472363983425
0.5,0.0,20.0,3.322765599744396,0.09704541305803893
0.5,0.0,20.0,3.497497266890997,0.0964567908229963
0.5,0.0,20.0,3.6814174111020592,0.09589734816493056
0.5,0.0,20.0,3.875009219610563,0.09536564933478875
0.5,0.0,20.0,4.078781288637367,0.09486032818277756
0.5,0.0,20.0,4.2932689595536635,0.0943800848862475
0.5,0.0,20.0,4.5190357253072495,0.0939236828214618
0.5,0.0,20.0,4.756674710807369,0.09348994557389911
0.5,0.0,20.0,5.00681023115746,0.09307775408162744
0.5,0.0,20.0,5.270099431829364,0.09268604390719748
0.5,0.0,20.0,5.547234015088183,0.0923138026323933
0.5,0.0,20.0,5.838942057203225,0.09196006737133278
0.5,0.0,20.0,6.145989921219274,0.09162392239709938
0.5,0.0,20.0,6.469184270313132,0.09130449687708708
0.5,0.0,20.0,6.8093741870250835,0.09100096271281721
0.5,0.0,20.0,7.16745340393265,0.09071253247960875
0.5,0.0,20.0,7.544362651627123,0.09043845746201651
0.5,0.0,20.0,7.941092130161139,0.09017802578095147
0.5,0.0,20.0,8.358684110460485,0.08993056060839777
0.5,0.0,20.0,8.798235672534217,0.08969541846606255
0.5,0.0,20.0,9.26090158767697,0.08947198760425046
0.5,0.0,20.0,9.74789735223523,0.089259686457277
0.5,0.0,20.0,10.260502380908038,0.08905796217226758
0.5,0.0,20.0,10.800063367971216,0.08886628920772299
0.5,0.0,20.0,11.367997825255749,0.08868416799905354
0.5,0.0,20.0,11.965797806174857,0.08851112368786218
0.5,0.0,20.0,12.595033825583783,0.08834670491200125
0.5,0.0,20.0,13.257358985770013,0.08819048265378271
0.5,0.0,20.0,13.954513319413879,0.08804204914361069
0.5,0.0,20.0,14.688328360928756,0.08790101681643847
0.5,0.0,20.0,15.460731958190992,0.08776701731851855
0.5,0.0,20.0,16.273753337300388,0.08763970056244741
0.5,0.0,20.0,17.12952843367724,0.08751873382768505
0.5,0.0,20.0,18.03030550350178,0.08740380090497268
0.5,0.0,20.0,18.978451030237625,0.08729460128220623
0.5,0.0,20.0,19.976455941757308,0.08719084937003352
0.5,0.0,20.0,21.026942154402654,0.08709227376504369
0.5,0.0,20.0,22.13266946117282,0.08699861654903884
0.5,0.0,20.0,23.2965427821356,0.08690963262254492
0.5,0.0,20.0,24.521619796110887,0.08682508907078557
0.5,0.0,20.0,25.811118973675196,0.08674476456091984
0.5,0.0,20.0,27.1684280325918,0.08666844876861202
0.5,0.0,20.0,28.597112837879422,0.08659594183282326
0.5,0.0,20.0,30.100926769902348,0.08652705383747072
0.5,0.0,20.0,31.683820585092676,0.08646160431837746
0.5,0.0,20.0,33.34995279521093,0.08639942179462512
0.5,0.0,20.0,35.10370059241213,0.0863403433229104
0.5,0.0,20.0,36.94967134882033,0.08628421407388398
0.5,0.0,20.0,38.89271472082188,0.08623088692936154
0.5,0.0,20.0,40.93793538987814,0.0861802220994301
0.5,0.0,20.0,43.09070647332848,0.08613208675838369
0.5,0.0,20.0,45.35668364041746,0.08608635469877779
0.5,0.0,20.0,47.74181997062999,0.08604290600244813
0.5,0.0,20.0,50.252381593370636,0.08600162672784961
0.5,0.0,20.0,52.894964150073484,0.08596240861293847
0.5,0.0,20.0,55.67651012199308,0.08592514879259827
0.5,0.0,20.0,58.60432706919768,0.08588974953018802
0.5,0.0,20.0,61.68610682868276,0.08585611796234627
0.5,0.0,20.0,64.92994572203962,0.08582416585656283
0.5,0.0,20.0,68.34436582576978,0.08579380938045222
0.5,0.0,20.0,71.93833736012435,0.08576496888288432
0.5,0.0,20.0,75.72130225528745,0.08573756868568427
0.5,0.0,20.0,79.703198956817,0.0857115368857242
0.5,0.0,20.0,83.89448853550809,0.08568680516698457
0.5,0.0,20.0,88.30618217027678,0.08566330862178617
0.5,0.0,20.0,92.94987007626396,0.08564098558097033
0.5,0.0,20.0,97.83775195415957,0.08561977745249472
0.5,0.0,20.0,102.9826690407396,0.08559962856811154
0.5,0.0,20.0,108.39813784482234,0.08558048603763968
0.5,0.0,20.0,114.09838565726807,0.08556229961045325
0.5,0.0,20.0,120.0983879283172,0.08554502154380916
0.5,0.0,20.0,126.4139076104604,0.08552860647796923
0.5,0.0,20.0,133.06153657020144,0.08551301131722866
0.5,0.0,20.0,140.0587391775079,0.08549819511702861
0.5,0.0,20.0,147.42389818746622,0.08548411897677521
0.5,0.0,20.0,155.1763630346785,0.0854707459376991
0.5,0.0,20.0,163.3365006672823,0.08545804088615494
0.5,0.0,20.0,171.92574905413258,0.08544597046151736
0.5,0.0,20.0,180.96667350573028,0.08543450296867316
0.5,0.0,20.0,190.48302595685212,0.08542360829502105
0.5,0.0,20.0,200.49980736663028,0.08541325783142373
0.5,0.0,20.0,211.04333340001605,0.08540342439720128
0.5,0.0,20.0,222.141303563183,0.08539408216889921
0.5,0.0,20.0,233.82287397449844,0.08538520661245386
0.5,0.0,20.0,246.1187339622498,0.08537677441897706
0.5,0.0,20.0,259.06118669034555,0.08536876344344968
0.5,0.0,20.0,272.6842340238268,0.08536115264676791
0.5,0.0,20.0,287.02366585712923,0.08535392204045422
0.5,0.0,20.0,302.11715413978243,0.0853470526342548
0.5,0.0,20.0,318.00435184656374,0.08534052638626832
0.5,0.0,20.0,334.7269971521185,0.08533432615565051
0.5,0.0,20.0,352.3290230837293,0.08532843565758341
0.5,0.0,20.0,370.8566729403078,0.08532283942055408
0.5,0.0,20.0,390.35862178084193,0.08531752274578697
0.5,0.0,20.0,410.8861043014455,0.08531247166863043
